age,sex,education,province,citizenship_status,agegroup
54.4,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
24.4,Female,Less than high school diploma or its equivalent,Alberta,By birth,21 to 35
78.2,Male,Less than high school diploma or its equivalent,Saskatchewan,By birth,65 to 80
45.8,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
43.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
54.9,Female,High school diploma or a high school equivalency certificate,Newfoundland and Labrador,By birth,50 to 65
65,Male,"College, CEGEP or other non-university certificate or di...",Prince Edward Island,By birth,50 to 65
43.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
77.2,Male,"College, CEGEP or other non-university certificate or di...",Saskatchewan,By birth,65 to 80
31,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,21 to 35
78.7,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
38.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
71.1,Female,Trade certificate or diploma,Newfoundland and Labrador,By birth,65 to 80
68,Male,Trade certificate or diploma,Prince Edward Island,By birth,65 to 80
30.8,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,21 to 35
66.4,Female,University certificate or diploma below the bachelor's level,Ontario,By naturalization,65 to 80
80,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,65 to 80
22,Male,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,21 to 35
38.9,Female,"College, CEGEP or other non-university certificate or di...",Prince Edward Island,By birth,35 to 50
77.7,Male,Less than high school diploma or its equivalent,British Columbia,By naturalization,65 to 80
74.5,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
77.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
20.6,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,21 to 35
30.6,Female,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,21 to 35
74.8,Female,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
61.1,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
78.2,Male,"University certificate, diploma or degree above the bach...",Ontario,By birth,65 to 80
57.8,Male,Less than high school diploma or its equivalent,Ontario,By birth,50 to 65
65.8,Male,Trade certificate or diploma,Newfoundland and Labrador,By birth,65 to 80
58.4,Male,Trade certificate or diploma,Saskatchewan,By birth,50 to 65
56.7,Male,Trade certificate or diploma,Alberta,By birth,50 to 65
30.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
70.8,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,65 to 80
64,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Prince Edward Island,By birth,50 to 65
28.6,Female,"College, CEGEP or other non-university certificate or di...",Saskatchewan,By birth,21 to 35
68.6,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
49.7,Male,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,35 to 50
70.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,65 to 80
70.3,Female,Less than high school diploma or its equivalent,Saskatchewan,By birth,65 to 80
67.3,Male,High school diploma or a high school equivalency certificate,New Brunswick,By birth,65 to 80
57.7,Male,"University certificate, diploma or degree above the bach...",Alberta,By birth,50 to 65
38.7,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,35 to 50
71.5,Male,University certificate or diploma below the bachelor's level,Quebec,By birth,65 to 80
80,Female,Less than high school diploma or its equivalent,Ontario,By naturalization,65 to 80
38.9,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,35 to 50
35.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
38.8,Female,University certificate or diploma below the bachelor's level,Ontario,By birth,35 to 50
47.8,Male,Trade certificate or diploma,Nova Scotia,By birth,35 to 50
62.1,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
67.5,Male,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,65 to 80
46.6,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,35 to 50
63.1,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,50 to 65
61,Male,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,50 to 65
72.2,Female,"University certificate, diploma or degree above the bach...",Quebec,By birth,65 to 80
52.9,Male,"College, CEGEP or other non-university certificate or di...",Prince Edward Island,By birth,50 to 65
33.2,Female,"College, CEGEP or other non-university certificate or di...",Saskatchewan,By birth,21 to 35
52.7,Female,"University certificate, diploma or degree above the bach...",Nova Scotia,By birth,50 to 65
63.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
41.5,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,35 to 50
50.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
57.2,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
58.2,Female,Less than high school diploma or its equivalent,Saskatchewan,By birth,50 to 65
60.9,Male,Trade certificate or diploma,New Brunswick,By birth,50 to 65
22.5,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,21 to 35
54.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By birth,50 to 65
48.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,35 to 50
32.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,21 to 35
64.3,Female,University certificate or diploma below the bachelor's level,Newfoundland and Labrador,By birth,50 to 65
33.8,Male,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,21 to 35
35.3,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By naturalization,35 to 50
78.5,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
44.7,Female,Less than high school diploma or its equivalent,British Columbia,By birth,35 to 50
80,Male,"University certificate, diploma or degree above the bach...",Quebec,By naturalization,65 to 80
37.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
60.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
62,Female,High school diploma or a high school equivalency certificate,Ontario,By naturalization,50 to 65
28.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
22.2,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,21 to 35
58.8,Female,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,50 to 65
23.7,Female,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,21 to 35
64.4,Female,"University certificate, diploma or degree above the bach...",Manitoba,By birth,50 to 65
55.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
75.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,65 to 80
58.5,Female,Trade certificate or diploma,Quebec,By birth,50 to 65
63.2,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
71,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,65 to 80
70.3,Male,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
67.1,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
45,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,35 to 50
52,Male,"University certificate, diploma or degree above the bach...",British Columbia,By birth,50 to 65
41,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,35 to 50
63.7,Male,High school diploma or a high school equivalency certificate,Prince Edward Island,By birth,50 to 65
58.3,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,50 to 65
47.6,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
66.4,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
80,Female,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,65 to 80
59.5,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
63.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,50 to 65
54.9,Female,"College, CEGEP or other non-university certificate or di...",Saskatchewan,By birth,50 to 65
59,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
52.5,Male,"University certificate, diploma or degree above the bach...",Nova Scotia,By naturalization,50 to 65
80,Male,"College, CEGEP or other non-university certificate or di...",Manitoba,By birth,65 to 80
79.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,65 to 80
28.5,Male,Trade certificate or diploma,Alberta,By birth,21 to 35
43.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
72.2,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,65 to 80
61.4,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
80,Male,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
64.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
46.7,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,35 to 50
50.2,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,50 to 65
60.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Manitoba,By birth,50 to 65
53.3,Female,"University certificate, diploma or degree above the bach...",Quebec,By birth,50 to 65
28.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,21 to 35
26.8,Male,"University certificate, diploma or degree above the bach...",Nova Scotia,By naturalization,21 to 35
54,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
54.3,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,50 to 65
80,Female,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,65 to 80
69,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
58.8,Male,High school diploma or a high school equivalency certificate,Ontario,By naturalization,50 to 65
61.6,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
63.1,Male,High school diploma or a high school equivalency certificate,Prince Edward Island,By birth,50 to 65
52.3,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
58.5,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
63.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,50 to 65
62.4,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
73.3,Female,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
41.3,Male,"College, CEGEP or other non-university certificate or di...",Manitoba,By birth,35 to 50
50.1,Male,Less than high school diploma or its equivalent,Quebec,By birth,50 to 65
71.4,Male,Less than high school diploma or its equivalent,Alberta,By birth,65 to 80
28,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,21 to 35
57.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,50 to 65
41.6,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,35 to 50
38.4,Male,Trade certificate or diploma,Alberta,By birth,35 to 50
61.2,Male,High school diploma or a high school equivalency certificate,Prince Edward Island,By birth,50 to 65
68.1,Female,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By naturalization,65 to 80
80,Male,"University certificate, diploma or degree above the bach...",Quebec,By birth,65 to 80
51.1,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
66.6,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
66.7,Male,Trade certificate or diploma,British Columbia,By birth,65 to 80
27.1,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,21 to 35
74.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,65 to 80
47,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,35 to 50
60.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,50 to 65
59.3,Male,Trade certificate or diploma,Nova Scotia,By birth,50 to 65
79.1,Male,Less than high school diploma or its equivalent,Ontario,By naturalization,65 to 80
28.7,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,21 to 35
71.2,Female,"University certificate, diploma or degree above the bach...",Quebec,By birth,65 to 80
68.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
70.3,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,65 to 80
68.7,Female,"College, CEGEP or other non-university certificate or di...",Saskatchewan,By birth,65 to 80
80,Female,Less than high school diploma or its equivalent,Saskatchewan,By birth,65 to 80
36.9,Male,"University certificate, diploma or degree above the bach...",Quebec,By birth,35 to 50
45.2,Male,High school diploma or a high school equivalency certificate,New Brunswick,By birth,35 to 50
24.9,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,21 to 35
80,Female,Less than high school diploma or its equivalent,Ontario,By naturalization,65 to 80
45.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
36.4,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,35 to 50
27.3,Female,"College, CEGEP or other non-university certificate or di...",Manitoba,By birth,21 to 35
80,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
41.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,35 to 50
74.6,Male,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,65 to 80
35.8,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
58.4,Male,Trade certificate or diploma,Quebec,By birth,50 to 65
78,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
80,Male,Less than high school diploma or its equivalent,British Columbia,By birth,65 to 80
65.9,Female,"University certificate, diploma or degree above the bach...",Alberta,By naturalization,65 to 80
56.5,Male,Trade certificate or diploma,Prince Edward Island,By birth,50 to 65
74.9,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,65 to 80
80,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,65 to 80
70,Female,"University certificate, diploma or degree above the bach...",Quebec,By birth,65 to 80
37.8,Female,University certificate or diploma below the bachelor's level,Ontario,By birth,35 to 50
61.1,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
63.2,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
61.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
67.4,Female,Less than high school diploma or its equivalent,Saskatchewan,By birth,65 to 80
44.8,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,35 to 50
64.4,Male,"University certificate, diploma or degree above the bach...",Ontario,By birth,50 to 65
77.5,Male,Trade certificate or diploma,Manitoba,By birth,65 to 80
71.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,65 to 80
65.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,65 to 80
56.3,Male,High school diploma or a high school equivalency certificate,Ontario,By naturalization,50 to 65
66,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,65 to 80
76.2,Female,Less than high school diploma or its equivalent,Nova Scotia,By birth,65 to 80
59.9,Male,Less than high school diploma or its equivalent,Quebec,By birth,50 to 65
43.5,Male,"University certificate, diploma or degree above the bach...",Quebec,By birth,35 to 50
38.5,Male,University certificate or diploma below the bachelor's level,Quebec,By birth,35 to 50
32.3,Female,Trade certificate or diploma,Quebec,By birth,21 to 35
51.8,Male,"University certificate, diploma or degree above the bach...",British Columbia,By birth,50 to 65
46.9,Male,Trade certificate or diploma,British Columbia,By birth,35 to 50
67,Male,Trade certificate or diploma,New Brunswick,By birth,65 to 80
50.9,Female,High school diploma or a high school equivalency certificate,Newfoundland and Labrador,By birth,50 to 65
78.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,65 to 80
68,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,65 to 80
52.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
44.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
39.1,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,35 to 50
36.6,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,35 to 50
23.1,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
75.4,Male,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,65 to 80
39.2,Female,High school diploma or a high school equivalency certificate,Manitoba,By birth,35 to 50
49.3,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,35 to 50
70,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,65 to 80
64.1,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
46.6,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
73,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
75.6,Female,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
55.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
22.1,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,21 to 35
57.3,Female,University certificate or diploma below the bachelor's level,Ontario,By birth,50 to 65
22.4,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,21 to 35
65.6,Male,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,65 to 80
31.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
59.4,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
54,Male,Trade certificate or diploma,Quebec,By birth,50 to 65
45.1,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,35 to 50
38.3,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,35 to 50
62.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,50 to 65
41,Male,"University certificate, diploma or degree above the bach...",Alberta,By birth,35 to 50
80,Female,University certificate or diploma below the bachelor's level,Ontario,By naturalization,65 to 80
20.8,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,21 to 35
53.9,Male,Less than high school diploma or its equivalent,Alberta,By birth,50 to 65
65,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Manitoba,By birth,50 to 65
49.1,Male,High school diploma or a high school equivalency certificate,Newfoundland and Labrador,By birth,35 to 50
57.8,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,50 to 65
33.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",New Brunswick,By birth,21 to 35
52.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,50 to 65
26.2,Female,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,21 to 35
80,Male,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
36.5,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
72.1,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
58.3,Male,"University certificate, diploma or degree above the bach...",Prince Edward Island,By birth,50 to 65
79.8,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,65 to 80
48.7,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,35 to 50
67.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,65 to 80
62.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,50 to 65
63.8,Female,University certificate or diploma below the bachelor's level,Manitoba,By birth,50 to 65
40.2,Male,"University certificate, diploma or degree above the bach...",Quebec,By birth,35 to 50
58,Female,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,50 to 65
67,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Manitoba,By birth,65 to 80
32.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,21 to 35
73.2,Male,Trade certificate or diploma,New Brunswick,By naturalization,65 to 80
31,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,21 to 35
61.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,50 to 65
71.7,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
47.1,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
33.4,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By naturalization,21 to 35
66.2,Female,High school diploma or a high school equivalency certificate,Newfoundland and Labrador,By birth,65 to 80
60,Female,University certificate or diploma below the bachelor's level,Nova Scotia,By birth,50 to 65
66.6,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
58.4,Male,"College, CEGEP or other non-university certificate or di...",Manitoba,By birth,50 to 65
73.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,65 to 80
55.6,Female,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,50 to 65
33.5,Female,Less than high school diploma or its equivalent,Ontario,By naturalization,21 to 35
64.1,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
63.3,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
71.9,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
76.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,65 to 80
40.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
66.8,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
32,Male,Trade certificate or diploma,Ontario,By birth,21 to 35
63.8,Male,Less than high school diploma or its equivalent,Manitoba,By birth,50 to 65
54.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
42.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,35 to 50
34.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,21 to 35
75.2,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
53.1,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
44.3,Male,Trade certificate or diploma,Manitoba,By birth,35 to 50
32.7,Female,"University certificate, diploma or degree above the bach...",Alberta,By birth,21 to 35
56.4,Female,High school diploma or a high school equivalency certificate,New Brunswick,By birth,50 to 65
80,Male,Less than high school diploma or its equivalent,Nova Scotia,By birth,65 to 80
55.2,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,50 to 65
38.4,Male,Trade certificate or diploma,Quebec,By birth,35 to 50
47.7,Female,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,35 to 50
46.9,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
22.1,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
23.4,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
47.5,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By naturalization,35 to 50
34.1,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,21 to 35
46.7,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,35 to 50
44.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,35 to 50
28.2,Male,Trade certificate or diploma,Ontario,By birth,21 to 35
80,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
58.6,Male,University certificate or diploma below the bachelor's level,Saskatchewan,By birth,50 to 65
72.3,Male,Trade certificate or diploma,Alberta,By birth,65 to 80
80,Male,Less than high school diploma or its equivalent,Quebec,By naturalization,65 to 80
64.5,Female,University certificate or diploma below the bachelor's level,New Brunswick,By birth,50 to 65
60.4,Female,University certificate or diploma below the bachelor's level,Newfoundland and Labrador,By birth,50 to 65
30.3,Male,Trade certificate or diploma,Alberta,By birth,21 to 35
43.7,Male,Trade certificate or diploma,Quebec,By birth,35 to 50
40.5,Male,Less than high school diploma or its equivalent,Ontario,By birth,35 to 50
44.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",New Brunswick,By birth,35 to 50
35.2,Female,Trade certificate or diploma,Saskatchewan,By birth,35 to 50
38.3,Male,Trade certificate or diploma,Quebec,By birth,35 to 50
18.3,Male,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,20 or less
49.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Manitoba,By birth,35 to 50
42.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,35 to 50
67.4,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
44.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
35.5,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,35 to 50
39,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
23.3,Male,Trade certificate or diploma,Quebec,By birth,21 to 35
36.5,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,35 to 50
33.3,Male,Trade certificate or diploma,Quebec,By birth,21 to 35
58,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,50 to 65
39.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By birth,35 to 50
40.9,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,35 to 50
42,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
78,Female,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,65 to 80
64.9,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By naturalization,50 to 65
61.4,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,50 to 65
54.8,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
46.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",New Brunswick,By birth,35 to 50
49.3,Male,"University certificate, diploma or degree above the bach...",British Columbia,By birth,35 to 50
79.5,Female,Less than high school diploma or its equivalent,British Columbia,By birth,65 to 80
27.2,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
67.2,Male,Trade certificate or diploma,Prince Edward Island,By birth,65 to 80
76.3,Male,Less than high school diploma or its equivalent,Quebec,By naturalization,65 to 80
44.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,35 to 50
40.8,Female,Trade certificate or diploma,Saskatchewan,By birth,35 to 50
80,Male,High school diploma or a high school equivalency certificate,Saskatchewan,By naturalization,65 to 80
58.9,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
70,Female,"University certificate, diploma or degree above the bach...",Saskatchewan,By birth,65 to 80
60.3,Female,"University certificate, diploma or degree above the bach...",Nova Scotia,By birth,50 to 65
40.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
34.2,Female,Less than high school diploma or its equivalent,Quebec,By birth,21 to 35
62.2,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,50 to 65
